LOBLAW COMPANIES LTD /CAD/,CA5394811015,Common Stock,Canada,CAD,0.29%,"CAD 503,670.82",172.91
EQUITY RESIDENTIAL,US29476L1070,Fund - Real Estate Investment Trust,United States,USD,0.29%,"$ 503,606.97",73.53
AMGEN INC,US0311621009,Common Stock,United States,USD,0.29%,"$ 503,464.50",319.66
AVALONBAY COMMUNITIES INC,US0534841012,Fund - Real Estate Investment Trust,United States,USD,0.29%,"$ 503,262.54",221.02
NOVARTIS AG-REG /CHF/,CH0012005267,Common Stock,Switzerland,CHF,0.29%,"CHF 503,113.20",97.71
COCA-COLA CO/THE,US1912161007,Common Stock,United States,USD,0.29%,"$ 502,206.69",70.17
TESCO PLC /GBP/,GB00BLGZ9862,Common Stock,United Kingdom,GBP,0.29%,"GBP 501,711.82",3.62
SUN LIFE FINANCIAL INC /CAD/,CA8667961053,Common Stock,Canada,CAD,0.29%,"CAD 501,025.14",79.11
NATIONAL BANK OF CANADA /CAD/,CA6330671034,Common Stock,Canada,CAD,0.28%,"CAD 499,480.61",128.15
ATLAS COPCO AB-A SHS /SEK/,SE0017486889,Common Stock,Sweden,SEK,0.28%,"SEK 499,156.18",195.55
CONSOLIDATED EDISON INC,US2091151041,Common Stock,United States,USD,0.28%,"$ 498,420.80",103.15
POWER CORP OF CANADA /CAD/,CA7392391016,Common Stock,Canada,CAD,0.28%,"CAD 498,065.57",43.43
GARTNER INC,US3666511072,Common Stock,United States,USD,0.28%,"$ 497,271.28",513.71
REGENCY CENTERS CORP,US7588491032,Fund - Real Estate Investment Trust,United States,USD,0.28%,"$ 496,729.35",70.85
MOLSON COORS BEVERAGE CO - B,US60871R2094,Common Stock,United States,USD,0.28%,"$ 495,939.15",56.07
ESSEX PROPERTY TRUST INC,US2971781057,Fund - Real Estate Investment Trust,United States,USD,0.28%,"$ 494,825.16",289.88
MARATHON PETROLEUM CORP,US56585A1025,Common Stock,United States,USD,0.28%,"$ 494,786.46",171.98
P G & E CORP,US69331C1080,Common Stock,United States,USD,0.28%,"$ 493,952.31",19.71
WESTLAKE CORP,US9604131022,Common Stock,United States,USD,0.28%,"$ 493,947.60",147.80
VICI PROPERTIES INC,US9256521090,Common Stock,United States,USD,0.28%,"$ 493,205.46",32.42
O'REILLY AUTOMOTIVE INC,US67103H1077,Common Stock,United States,USD,0.28%,"$ 493,142.30","1,154.90"
LYONDELLBASELL INDU-CL A,NL0009434992,Common Stock,United States,USD,0.28%,"$ 492,264.00",96.75
COCA-COLA EUROPACIFIC PARTNE,GB00BDCPN049,Common Stock,United Kingdom,USD,0.28%,"$ 491,931.06",78.01
CIGNA CORP,US1255231003,Common Stock,United States,USD,0.28%,"$ 490,681.20",341.70
TARGA RESOURCES CORP,US87612G1013,Common Stock,United States,USD,0.28%,"$ 490,336.06",158.02
WASTE CONNECTIONS INC /CAD/,CA94106B1013,Common Stock,United States,CAD,0.28%,"CAD 489,889.18",239.52
TOTALENERGIES SE /EUR/,FR0000120271,Common Stock,France,EUR,0.28%,"EUR 489,795.35",62.65
CROWN CASTLE INC,US22822V1017,Fund - Real Estate Investment Trust,United States,USD,0.28%,"$ 488,839.80",111.48
KRAFT HEINZ CO/THE,US5007541064,Common Stock,United States,USD,0.28%,"$ 488,825.88",34.59
IMPERIAL BRANDS PLC /GBP/,GB0004544929,Common Stock,United Kingdom,GBP,0.28%,"GBP 488,519.41",21.51
KIMBERLY-CLARK CORP,US4943681035,Common Stock,United States,USD,0.28%,"$ 488,324.74",140.89
GENERAL DYNAMICS CORP,US3695501086,Common Stock,United States,USD,0.28%,"$ 487,369.86",300.66
APPLIED MATERIALS INC,US0382221051,Common Stock,United States,USD,0.28%,"$ 487,151.64",201.97
SYSCO CORP,US8718291078,Common Stock,United States,USD,0.28%,"$ 486,696.14",75.41
CANADIAN NATURAL RESOURC /CAD/,CA1363851017,Common Stock,Canada,CAD,0.28%,"CAD 486,301.94",48.22
JAPAN TOBACCO INC /JPY/,JP3726800000,Common Stock,Japan,JPY,0.28%,"JPY 484,298.85","4,281.00"
KONINKLIJKE KPN NV /EUR/,NL0000009082,Common Stock,Netherlands,EUR,0.27%,"EUR 482,309.73",3.62
AMERICAN TOWER CORP,US03027X1000,Fund - Real Estate Investment Trust,United States,USD,0.27%,"$ 482,210.96",223.66
PHILIP MORRIS INTERNA,US7181721090,Common Stock,United States,USD,0.27%,"$ 481,997.70",119.10
CELANESE CORP,US1508701034,Common Stock,United States,USD,0.27%,"$ 481,898.42",136.67
LOWE'S COS INC,US5486611073,Common Stock,United States,USD,0.27%,"$ 479,558.16",267.76
UNIVERSAL HEALTH SERVICES-B,US9139031002,Common Stock,United States,USD,0.27%,"$ 479,240.96",215.68
VIATRIS INC,US92556V1061,Common Stock,United States,USD,0.27%,"$ 478,435.20",11.59
QUEST DIAGNOSTICS INC,US74834L1008,Common Stock,United States,USD,0.27%,"$ 477,551.93",150.79
PACCAR INC,US6937181088,Common Stock,United States,USD,0.27%,"$ 477,237.15",103.41
CENCORA INC,US03073E1055,Common Stock,United States,USD,0.27%,"$ 476,609.98",219.94
PROCTER & GAMBLE CO/THE,US7427181091,Common Stock,United States,USD,0.27%,"$ 476,579.36",168.88
FORTINET INC,US34959E1091,Common Stock,United States,USD,0.27%,"$ 475,626.97",78.01
ALTRIA GROUP INC,US02209S1033,Common Stock,United States,USD,0.27%,"$ 475,148.40",50.10
TE CONNECTIVITY PLC,IE000IVNQZ81,Common Stock,Switzerland,USD,0.27%,"$ 475,039.70",145.45
VERTEX PHARMACEUTICALS INC,US92532F1003,Common Stock,United States,USD,0.27%,"$ 473,977.71",455.31
MICROSOFT CORP,US5949181045,Common Stock,United States,USD,0.27%,"$ 473,892.34",416.06
UNITEDHEALTH GROUP INC,US91324P1021,Common Stock,United States,USD,0.27%,"$ 473,551.20",591.20
ILLINOIS TOOL WORKS,US4523081093,Common Stock,United States,USD,0.27%,"$ 473,407.12",258.41
ASM INTERNATIONAL NV /EUR/,NL0000334118,Common Stock,Netherlands,EUR,0.27%,"EUR 472,462.06",589.20
CARDINAL HEALTH INC,US14149Y1082,Common Stock,United States,USD,0.27%,"$ 471,547.78",111.98
THOMSON REUTERS CORP /CAD/,CA8849038085,Common Stock,Canada,CAD,0.27%,"CAD 471,091.73",225.22
ARCHER-DANIELS-MIDLAND CO,US0394831020,Common Stock,United States,USD,0.27%,"$ 469,930.82",59.23
GARMIN LTD,CH0114405324,Common Stock,United States,USD,0.27%,"$ 469,792.89",170.03
ROYAL CARIBBEAN CRUISES LTD,LR0008862868,Common Stock,United States,USD,0.27%,"$ 468,158.96",179.44
GILEAD SCIENCES INC,US3755581036,Common Stock,United States,USD,0.27%,"$ 468,036.47",84.59
CLOROX COMPANY,US1890541097,Common Stock,United States,USD,0.27%,"$ 467,583.58",161.57
COLGATE-PALMOLIVE CO,US1941621039,Common Stock,United States,USD,0.27%,"$ 467,567.84",99.04
KONINKLIJKE AHOLD DELHAI /EUR/,NL0011794037,Common Stock,Netherlands,EUR,0.27%,"EUR 466,227.74",30.63
WEC ENERGY GROUP INC,US92939U1060,Common Stock,United States,USD,0.27%,"$ 465,942.40",95.48
SANOFI /EUR/,FR0000120578,Common Stock,United States,EUR,0.26%,"EUR 465,072.74",101.72
GE HEALTHCARE TECHNOLOG-INC,US36266G1076,Common Stock,United States,USD,0.26%,"$ 465,053.54",91.42
VONOVIA SE /EUR/,DE000A1ML7J1,Common Stock,Germany,EUR,0.26%,"EUR 463,283.11",32.50
EQUINIX INC,US29444U7000,Fund - Real Estate Investment Trust,United States,USD,0.26%,"$ 462,992.64",876.88
MITSUBISHI CORP /JPY/,JP3898400001,Common Stock,Japan,JPY,0.26%,"JPY 462,803.27","3,082.00"
VALERO ENERGY CORP,US91913Y1001,Common Stock,United States,USD,0.26%,"$ 460,443.86",142.42
DIAMONDBACK ENERGY INC,US25278X1090,Common Stock,United States,USD,0.26%,"$ 459,474.21",194.61
ROCHE HOLDING AG-GENUSSC /CHF/,CH0012032048,Common Stock,United States,CHF,0.26%,"CHF 459,027.13",258.50
BUNGE GLOBAL SA,CH1300646267,Common Stock,United States,USD,0.26%,"$ 458,552.07",98.17
REGENERON PHARMACEUTICALS,US75886F1075,Common Stock,United States,USD,0.26%,"$ 455,769.00","1,012.82"
RELX PLC /GBP/,GB00B2B0DG97,Common Stock,United Kingdom,GBP,0.26%,"GBP 452,813.90",35.01
SEMPRA,US8168511090,Common Stock,United States,USD,0.26%,"$ 452,730.60",82.60
AUTOZONE INC,US0533321024,Common Stock,United States,USD,0.26%,"$ 452,003.42","3,033.58"
STRYKER CORP,US8636671013,Common Stock,United States,USD,0.26%,"$ 451,317.70",351.22
EVEREST GROUP LTD,BMG3223R1088,Common Stock,United States,USD,0.26%,"$ 451,000.32",407.04
DOW INC,US2605571031,Common Stock,United States,USD,0.26%,"$ 450,301.58",55.34
UNION PACIFIC CORP,US9078181081,Common Stock,United States,USD,0.26%,"$ 450,012.24",238.86
CONAGRA BRANDS INC,US2058871029,Common Stock,United States,USD,0.26%,"$ 449,230.73",29.51
RESMED INC,US7611521078,Common Stock,United States,USD,0.26%,"$ 448,773.64",233.98
WILLIAMS COS INC,US9694571004,Common Stock,United States,USD,0.26%,"$ 448,158.90",49.63
XCEL ENERGY INC,US98389B1008,Common Stock,United States,USD,0.25%,"$ 447,639.52",63.73
T-MOBILE US INC,US8725901040,Common Stock,United States,USD,0.25%,"$ 446,760.60",208.28
AUTOMATIC DATA PROCESSING,US0530151036,Common Stock,United States,USD,0.25%,"$ 445,134.76",285.16
PAYCHEX INC,US7043261079,Common Stock,United States,USD,0.25%,"$ 444,234.60",138.65
UNIBAIL-RODAMCO-WESTFIEL /EUR/,FR0013326246,Fund - Real Estate Investment Trust,France,EUR,0.25%,"EUR 443,330.40",76.24
BARRICK GOLD CORP /CAD/,CA0679011084,Common Stock,Canada,CAD,0.25%,"CAD 442,947.95",27.27
INTUIT INC,US4612021034,Common Stock,United States,USD,0.25%,"$ 442,125.08",610.67
FIFTH THIRD BANCORP,US3167731005,Common Stock,United States,USD,0.25%,"$ 441,629.00",42.10
ROSS STORES INC,US7782961038,Common Stock,United States,USD,0.25%,"$ 441,252.98",145.58
WP CAREY INC,US92936U1097,Fund - Real Estate Investment Trust,United States,USD,0.25%,"$ 441,150.50",60.25
ACCENTURE PLC-CL A,IE00B4BNMY34,Common Stock,Ireland,USD,0.25%,"$ 437,585.92",362.24
MCKESSON CORP,US58155Q1031,Common Stock,United States,USD,0.25%,"$ 436,878.00",485.42
INTUITIVE SURGICAL INC,US46120E6023,Common Stock,United States,USD,0.25%,"$ 436,164.75",481.95
BRITISH AMERICAN TOBACCO /GBP/,GB0002875804,Common Stock,United Kingdom,GBP,0.25%,"GBP 435,176.96",26.81
PHILLIPS 66,US7185461040,Common Stock,United States,USD,0.25%,"$ 434,157.84",138.62
CHURCH & DWIGHT CO INC,US1713401024,Common Stock,United States,USD,0.25%,"$ 432,754.32",101.04
LABCORP HOLDINGS INC,US5049221055,Common Stock,United States,USD,0.25%,"$ 432,000.00",216.00
MOLINA HEALTHCARE INC,US60855R1005,Common Stock,United States,USD,0.24%,"$ 429,209.66",330.67
DUKE ENERGY CORP,US26441C2044,Common Stock,United States,USD,0.24%,"$ 428,828.00",114.05
NOVO NORDISK A/S-B /DKK/,DK0062498333,Common Stock,Denmark,DKK,0.24%,"DKK 427,400.61",778.20
MONDELEZ INTERNATIONAL INC-A,US6092071058,Common Stock,United States,USD,0.24%,"$ 426,914.70",71.51
ELECTRONIC ARTS INC,US2855121099,Common Stock,United States,USD,0.24%,"$ 424,104.40",142.70
VINCI SA /EUR/,FR0000125486,Common Stock,France,EUR,0.24%,"EUR 422,882.44",104.90
HOLOGIC INC,US4364401012,Common Stock,United States,USD,0.24%,"$ 422,624.08",80.24
KINDER MORGAN INC,US49456B1017,Common Stock,United States,USD,0.24%,"$ 422,538.18",23.62
STERIS PLC,IE00BFY8C754,Common Stock,United States,USD,0.24%,"$ 422,535.58",231.02
NUCOR CORP,US6703461052,Common Stock,United States,USD,0.24%,"$ 422,214.72",151.44
CISCO SYSTEMS INC,US17275R1023,Common Stock,United States,USD,0.24%,"$ 417,674.50",52.75
LAM RESH CORP,US5128073062,Common Stock,United States,USD,0.24%,"$ 416,669.40",81.54
CONOCOPHILLIPS,US20825C1045,Common Stock,United States,USD,0.24%,"$ 415,551.12",114.54
HYDRO ONE LTD /CAD/,CA4488112083,Common Stock,Canada,CAD,0.24%,"CAD 415,385.24",44.63
ALPHABET INC-CL A,US02079K3059,Common Stock,United States,USD,0.24%,"$ 414,308.80",167.06
UDR INC,US9026531049,Fund - Real Estate Investment Trust,United States,USD,0.24%,"$ 413,483.07",44.59
COMCAST CORP-CLASS A,US20030N1019,Common Stock,United States,USD,0.23%,"$ 412,394.28",41.19
ONEOK INC,US6826801036,Common Stock,United States,USD,0.23%,"$ 410,822.22",95.23
SUNCOR ENERGY INC /CAD/,CA8672241079,Common Stock,Canada,CAD,0.23%,"CAD 409,875.35",54.23
EOG RESOURCES INC,US26875P1012,Common Stock,United States,USD,0.23%,"$ 407,080.96",133.12
ELEVANCE HEALTH INC,US0367521038,Common Stock,United States,USD,0.23%,"$ 406,449.82",492.07
MARATHON OIL CORP,US5658491064,Common Stock,United States,USD,0.23%,"$ 405,367.17",28.99
EQUITY LIFESTYLE PROPERTIES,US29472R1086,Fund - Real Estate Investment Trust,United States,USD,0.23%,"$ 405,288.00",69.28
CAPCOM CO LTD /JPY/,JP3218900003,Common Stock,Japan,JPY,0.23%,"JPY 404,804.55","3,285.00"
VENTAS INC,US92276F1003,Fund - Real Estate Investment Trust,United States,USD,0.23%,"$ 403,943.80",62.53
MS&AD INSURANCE GROUP HOLDINGS /JPY/,JP3890310000,Common Stock,Japan,JPY,0.23%,"JPY 402,830.88","3,399.00"
NETAPP INC,US64110D1046,Common Stock,United States,USD,0.23%,"$ 402,251.40",123.39
JUNIPER NETWORKS INC,US48203R1041,Common Stock,United States,USD,0.23%,"$ 399,846.00",38.82
DECKERS OUTDOOR CORP,US2435371073,Common Stock,United States,USD,0.22%,"$ 395,006.08",166.81
UNILEVER PLC /GBP/,GB00B10RZP78,Common Stock,United Kingdom,GBP,0.22%,"GBP 394,352.10",47.84
ARTHUR J GALLAGHER & CO,US3635761097,Common Stock,United States,USD,0.22%,"$ 394,172.82",289.62
JOHNSON & JOHNSON,US4781601046,Common Stock,United States,USD,0.22%,"$ 392,550.21",160.29
EBAY INC,US2786421030,Common Stock,United States,USD,0.22%,"$ 392,237.93",66.29
CONSTELLATION BRANDS INC-A,US21036P1084,Common Stock,United States,USD,0.22%,"$ 392,205.30",246.67
HONEYWELL INTERNATIONAL INC,US4385161066,Common Stock,United States,USD,0.22%,"$ 391,461.38",203.78
EXELON CORP,US30161N1019,Common Stock,United States,USD,0.22%,"$ 390,197.84",40.21
ORANGE SA /EUR/,FR0000133308,Common Stock,France,EUR,0.22%,"EUR 387,593.90",9.78
CAMPBELL SOUP CO,US1344291091,Common Stock,United States,USD,0.22%,"$ 387,228.30",47.35
PEPSICO INC,US7134481081,Common Stock,United States,USD,0.22%,"$ 387,002.88",167.97
WABTEC CORP,US9297401088,Common Stock,United States,USD,0.22%,"$ 386,763.00",183.30
MITSUI FUDOSAN CO LTD /JPY/,JP3893200000,Common Stock,Japan,JPY,0.22%,"JPY 385,453.69","1,386.00"
MERCK & CO. INC.,US58933Y1055,Common Stock,United States,USD,0.22%,"$ 384,853.62",109.77
DTE ENERGY COMPANY,US2333311072,Common Stock,United States,USD,0.22%,"$ 383,479.60",126.98
MID-AMERICA APARTMENT COMM,US59522J1034,Fund - Real Estate Investment Trust,United States,USD,0.22%,"$ 382,220.64",154.62
INDUSTRIA DE DISENO TEXT /EUR/,ES0148396007,Common Stock,Spain,EUR,0.22%,"EUR 380,977.77",51.86
TELEFONICA SA /EUR/,ES0178430E18,Common Stock,Spain,EUR,0.22%,"EUR 380,604.50",4.35
BEST BUY CO INC,US0865161014,Common Stock,United States,USD,0.22%,"$ 379,713.32",99.61
FAIRFAX FINANCIAL HLDGS  /CAD/,CA3039011026,Common Stock,Canada,CAD,0.22%,"CAD 379,314.27","1,745.81"
DANAHER CORP,US2358511028,Common Stock,United States,USD,0.22%,"$ 378,312.03",270.03
KLEPIERRE /EUR/,FR0000121964,Fund - Real Estate Investment Trust,France,EUR,0.22%,"EUR 377,714.91",29.06
CHEVRON CORP,US1667641005,Common Stock,United States,USD,0.21%,"$ 375,945.56",150.74
CHENIERE ENERGY INC,US16411R2085,Common Stock,United States,USD,0.21%,"$ 375,937.80",188.44
FORTESCUE LTD /AUD/,AU000000FMG4,Common Stock,Australia,AUD,0.21%,"AUD 374,296.13",19.76
PEMBINA PIPELINE CORP /CAD/,CA7063271034,Common Stock,Canada,CAD,0.21%,"CAD 373,347.85",57.88
HILTON WORLDWIDE HLDGS,US43300A2033,Common Stock,United States,USD,0.21%,"$ 372,315.96",233.72
ICON PLC,IE0005711209,Common Stock,United States,USD,0.21%,"$ 371,034.56",293.54
GEN DIGITAL INC,US6687711084,Common Stock,United States,USD,0.21%,"$ 370,922.57",27.49
AVERY DENNISON CORP,US0536111091,Common Stock,United States,USD,0.21%,"$ 368,880.21",214.59
CANADIAN NATL RAILWAY CO /CAD/,CA1363751027,Common Stock,Canada,CAD,0.21%,"CAD 368,696.37",154.03
